time,cat_name,state,lick,bout,water
2025-12-11 21:12:09.056,unknown,0,0,0,2.13369
2025-12-11 21:12:10.032,Handsome,0,0,0,2.12741
2025-12-11 21:12:10.592,unknown,0,0,0,2.13248
2025-12-11 21:12:11.584,Handsome,0,0,0,2.12733
2025-12-11 21:20:53.968,unknown,0,0,0,2.14859
2025-12-11 21:20:54.952,Handsome,0,0,0,2.15158
