time,mono_ms,cat_name,state,lick,bout,water
2026-01-07 18:30:17.101,4713490,unknown,0,0,0,1.31686
2026-01-07 18:30:18.083,4714472,Handsome,0,0,0,1.31815
2026-01-07 18:30:21.125,4717514,unknown,1,0,0,1.3175
2026-01-07 18:30:21.269,4717658,unknown,0,1,0,1.32064
2026-01-07 18:30:21.369,4717758,unknown,1,1,0,1.32475
2026-01-07 18:30:21.525,4717914,unknown,0,1,0,1.32048
2026-01-07 18:30:21.585,4717974,unknown,1,1,0,1.30235
2026-01-07 18:30:22.437,4718826,unknown,0,1,0,1.31524
2026-01-07 18:30:23.437,4719826,unknown,0,0,0,1.31911
2026-01-07 18:30:27.259,4723648,unknown,1,0,0,1.31557
2026-01-07 18:30:28.153,4724542,unknown,0,0,0,1.29921
2026-01-07 18:30:32.391,4728780,unknown,1,0,0,1.31686
2026-01-07 18:30:33.285,4729674,unknown,0,0,0,1.30243
2026-01-07 18:30:33.353,4729742,unknown,1,0,0,1.303
2026-01-07 18:30:33.411,4729800,unknown,0,1,0,1.30695
2026-01-07 18:30:34.411,4730800,unknown,0,0,0,1.29567
2026-01-07 18:30:36.917,4733306,unknown,1,0,0,1.30098
2026-01-07 18:30:37.707,4734096,unknown,0,0,0,1.30525
2026-01-07 18:30:42.307,4738696,unknown,1,0,0,1.30147
2026-01-07 18:30:43.657,4740046,unknown,0,0,0,1.29688
2026-01-07 18:30:48.381,4744770,unknown,1,0,0,1.29889
2026-01-07 18:30:49.319,4745708,unknown,0,0,0,1.30316
2026-01-07 18:31:19.105,4775494,unknown,1,0,0,1.29518
2026-01-07 18:31:19.153,4775542,unknown,0,0,0,1.2972
2026-01-07 18:31:19.843,4776232,unknown,0,0,0,1.29655
2026-01-07 18:31:20.449,4776838,Handsome,1,0,0,1.29663
2026-01-07 18:31:20.847,4777236,Handsome,0,0,0,1.2997
2026-01-07 18:31:21.385,4777774,unknown,1,0,0,1.30002
2026-01-07 18:31:21.483,4777872,unknown,0,1,0,1.29688
2026-01-07 18:31:21.531,4777920,unknown,1,1,0,1.30203
2026-01-07 18:31:21.583,4777972,unknown,0,2,0,1.29688
2026-01-07 18:31:22.585,4778974,unknown,0,0,0,1.30284
2026-01-07 18:31:24.303,4780692,unknown,1,0,0,1.29833
2026-01-07 18:31:24.367,4780756,unknown,0,1,0,1.30276
2026-01-07 18:31:24.445,4780834,unknown,1,1,0,1.29551
2026-01-07 18:31:25.715,4782104,unknown,0,1,0,1.29148
2026-01-07 18:31:25.805,4782194,unknown,1,1,0,1.29945
2026-01-07 18:31:25.871,4782260,unknown,0,2,0,1.29913
2026-01-07 18:31:26.871,4783260,unknown,0,0,0,1.29309
2026-01-07 18:31:29.377,4785766,unknown,1,0,0,1.30638
2026-01-07 18:31:30.735,4787124,unknown,0,0,0,1.27883
2026-01-07 18:31:34.293,4790682,unknown,1,0,0,1.29679
2026-01-07 18:31:35.287,4791676,unknown,0,0,0,1.29543
2026-01-07 18:31:39.049,4795438,unknown,1,0,0,1.29696
2026-01-07 18:31:40.369,4796758,unknown,0,0,0,1.28342
2026-01-07 18:31:44.781,4801170,unknown,1,0,0,1.30316
2026-01-07 18:31:45.871,4802260,unknown,0,0,0,1.29712
2026-01-07 18:31:49.151,4805540,unknown,1,0,0,1.2972
2026-01-07 18:31:50.121,4806510,unknown,0,0,0,1.27649
2026-01-07 18:31:53.151,4809540,unknown,1,0,0,1.28995
2026-01-07 18:31:54.253,4810642,unknown,0,0,0,1.27939
2026-01-07 18:31:57.863,4814252,unknown,1,0,0,1.27681
2026-01-07 18:31:59.239,4815628,unknown,0,0,0,1.28535
2026-01-07 18:31:59.311,4815700,unknown,1,0,0,1.27963
2026-01-07 18:31:59.403,4815792,unknown,0,1,0,1.28068
2026-01-07 18:32:00.421,4816810,unknown,0,0,0,1.28745
2026-01-07 18:32:04.371,4820760,unknown,1,0,0,1.27472
2026-01-07 18:32:05.703,4822092,unknown,0,0,0,1.28487
2026-01-07 18:32:05.775,4822164,unknown,1,0,0,1.28302
2026-01-07 18:32:05.855,4822244,unknown,0,1,0,1.27907
2026-01-07 18:32:06.861,4823250,unknown,0,0,0,1.27859
2026-01-07 18:32:09.809,4826198,unknown,1,0,0,1.28278
2026-01-07 18:32:10.921,4827310,unknown,0,0,0,1.28334
2026-01-07 18:32:15.575,4831964,unknown,1,0,0,1.27633
2026-01-07 18:32:16.885,4833274,unknown,0,0,0,1.28382
2026-01-07 18:32:20.529,4836918,unknown,1,0,0,1.27673
2026-01-07 18:32:21.843,4838232,unknown,0,0,0,1.28092
2026-01-07 18:32:25.653,4842042,unknown,1,0,0,1.28237
2026-01-07 18:32:27.281,4843670,unknown,0,0,0,1.28261
2026-01-07 18:32:31.785,4848174,unknown,1,0,0,1.28479
2026-01-07 18:32:33.475,4849864,unknown,0,0,0,1.27859
2026-01-07 18:32:33.547,4849936,unknown,1,0,0,1.27843
2026-01-07 18:32:33.639,4850028,unknown,0,1,0,1.2831
2026-01-07 18:32:34.643,4851032,unknown,0,0,0,1.2802
2026-01-07 18:32:38.419,4854808,unknown,1,0,0,1.27754
2026-01-07 18:32:39.621,4856010,unknown,0,0,0,1.2661
2026-01-07 18:32:42.431,4858820,unknown,1,0,0,1.28205
2026-01-07 18:32:43.511,4859900,unknown,0,0,0,1.28334
2026-01-07 18:32:43.563,4859952,unknown,1,0,0,1.26674
2026-01-07 18:32:43.611,4860000,unknown,0,1,0,1.27061
2026-01-07 18:32:44.613,4861002,unknown,0,0,0,1.27553
2026-01-07 18:32:47.773,4864162,unknown,1,0,0,1.27979
2026-01-07 18:32:49.197,4865586,unknown,0,0,0,1.26449
2026-01-07 18:32:49.321,4865710,unknown,1,0,0,1.26288
2026-01-07 18:32:49.373,4865762,unknown,0,1,0,1.27955
2026-01-07 18:32:50.373,4866762,unknown,0,0,0,1.28165
2026-01-07 19:03:07.305,6683694,unknown,1,0,0,1.27528
2026-01-07 19:03:08.309,6684698,unknown,0,0,0,1.2603
2026-01-07 19:03:13.157,6689546,unknown,1,0,0,1.26586
2026-01-07 19:03:14.069,6690458,unknown,0,0,0,1.26118
2026-01-07 19:03:18.605,6694994,unknown,1,0,0,1.26787
2026-01-07 19:03:20.209,6696598,unknown,0,0,0,1.26408
2026-01-07 19:03:24.583,6700972,unknown,1,0,0,1.25998
2026-01-07 19:03:25.525,6701914,unknown,0,0,0,1.25869
2026-01-07 19:03:25.589,6701978,unknown,1,0,0,1.27013
2026-01-07 19:03:25.657,6702046,unknown,0,1,0,1.25925
2026-01-07 19:03:26.661,6703050,unknown,0,0,0,1.26126
2026-01-07 19:03:28.231,6704620,unknown,1,0,0,1.26642
2026-01-07 19:03:29.243,6705632,unknown,0,0,0,1.26312
2026-01-07 19:03:32.949,6709338,unknown,1,0,0,1.25965
2026-01-07 19:03:33.959,6710348,unknown,0,0,0,1.26062
2026-01-07 19:03:37.625,6714014,unknown,1,0,0,1.25885
2026-01-07 19:03:38.533,6714922,unknown,0,0,0,1.25643
2026-01-07 19:03:43.387,6719776,unknown,1,0,0,1.26682
2026-01-07 19:03:44.603,6720992,unknown,0,0,0,1.2636
2026-01-07 19:03:48.255,6724644,unknown,1,0,0,1.26827
2026-01-07 19:03:49.351,6725740,unknown,0,0,0,1.2607
2026-01-07 19:03:49.445,6725834,unknown,1,0,0,1.26312
2026-01-07 19:03:49.523,6725912,unknown,0,1,0,1.26408
2026-01-07 19:03:50.523,6726912,unknown,0,0,0,1.26279
2026-01-07 19:03:53.663,6730052,unknown,1,0,0,1.25691
2026-01-07 19:03:54.731,6731120,unknown,0,0,0,1.26126
2026-01-07 19:03:58.475,6734864,unknown,1,0,0,1.25933
2026-01-07 19:03:59.575,6735964,unknown,0,0,0,1.25424
2026-01-07 19:04:04.893,6741282,unknown,1,0,0,1.26231
2026-01-07 19:04:05.959,6742348,unknown,0,0,0,1.25377
2026-01-08 15:08:44.123,79020512,unknown,0,0,0,1.23286
2026-01-08 15:08:45.115,79021504,Handsome,0,0,0,1.23247
2026-01-08 19:39:23.867,95260256,unknown,0,0,0,1.21062
2026-01-08 19:39:24.859,95261248,Handsome,0,0,0,1.21441
2026-01-08 19:40:23.867,95320256,unknown,1,0,0,1.21545
2026-01-08 19:40:24.987,95321376,unknown,0,0,0,1.21303
2026-01-08 19:40:31.867,95328256,unknown,1,0,0,1.21457
2026-01-08 19:40:32.027,95328416,unknown,0,0,0,1.20957
2026-01-08 19:40:32.123,95328512,unknown,1,0,0,1.21457
2026-01-08 19:40:33.051,95329440,unknown,0,0,0,1.2132
2026-01-08 19:40:37.051,95333440,unknown,1,0,0,1.21336
2026-01-08 19:40:37.211,95333600,unknown,0,0,0,1.20957
2026-01-08 19:40:37.307,95333696,unknown,1,0,0,1.21271
2026-01-08 19:40:37.915,95334304,unknown,0,0,0,1.20965
2026-01-08 19:40:42.363,95338752,unknown,1,0,0,1.21827
2026-01-08 19:40:42.459,95338848,unknown,0,1,0,1.21521
2026-01-08 19:40:42.587,95338976,unknown,1,1,0,1.21884
2026-01-08 19:40:42.843,95339232,unknown,0,1,0,1.21859
2026-01-08 19:40:42.971,95339360,unknown,1,1,0,1.21078
2026-01-08 19:40:43.355,95339744,unknown,0,1,0,1.21553
2026-01-08 19:40:43.419,95339808,unknown,1,1,0,1.21183
2026-01-08 19:40:43.579,95339968,unknown,0,1,0,1.21312
2026-01-08 19:40:44.603,95340992,unknown,0,0,0,1.21255
2026-01-08 19:40:48.187,95344576,unknown,1,0,0,1.21167
2026-01-08 19:40:48.251,95344640,unknown,0,1,0,1.20917
2026-01-08 19:40:48.379,95344768,unknown,1,1,0,1.21867
2026-01-08 19:40:49.083,95345472,unknown,0,1,0,1.219
2026-01-08 19:40:50.107,95346496,unknown,0,0,0,1.21432
2026-01-08 19:40:54.619,95351008,unknown,1,0,0,1.21634
2026-01-08 19:40:54.747,95351136,unknown,0,1,0,1.21771
2026-01-08 19:40:54.843,95351232,unknown,1,1,0,1.21279
2026-01-08 19:40:55.675,95352064,unknown,0,1,0,1.21424
2026-01-08 19:40:56.699,95353088,unknown,0,0,0,1.21666
2026-01-08 19:40:59.291,95355680,unknown,1,0,0,1.2053
2026-01-08 19:40:59.451,95355840,unknown,0,0,0,1.21795
2026-01-08 19:40:59.547,95355936,unknown,1,0,0,1.20119
2026-01-08 19:41:00.027,95356416,unknown,0,0,0,1.19402
