time,cat_name,state,lick,bout,water
2025-12-22 18:12:08.656,unknown,1,0,0,1.70545
2025-12-22 18:12:09.664,unknown,0,0,0,1.70578
2025-12-22 18:12:13.384,unknown,1,0,0,1.69063
2025-12-22 18:12:14.472,unknown,0,0,0,1.68781
2025-12-22 18:12:17.424,unknown,1,0,0,1.68821
2025-12-22 18:12:18.520,unknown,0,0,0,1.68894
2025-12-22 18:12:22.296,unknown,1,0,0,1.68716
2025-12-22 18:12:23.448,unknown,0,0,0,1.68757
2025-12-22 18:12:23.536,unknown,1,0,0,1.68684
2025-12-22 18:12:23.584,unknown,0,1,0,1.69039
2025-12-22 18:12:24.592,unknown,0,0,0,1.69224
2025-12-22 18:12:26.360,unknown,1,0,0,1.68749
2025-12-22 18:12:27.664,unknown,0,0,0,1.68878
2025-12-22 18:12:27.880,unknown,1,0,0,1.68958
2025-12-22 18:12:27.928,unknown,0,1,0,1.68628
2025-12-22 18:12:28.928,unknown,0,0,0,1.69015
2025-12-22 18:12:30.744,unknown,1,0,0,1.6899
2025-12-22 18:12:31.744,unknown,0,0,0,1.68797
2025-12-22 18:12:34.640,unknown,1,0,0,1.69079
2025-12-22 18:12:35.792,unknown,0,0,0,1.68781
2025-12-22 18:12:40.000,unknown,1,0,0,1.6887
2025-12-22 18:12:41.176,unknown,0,0,0,1.67758
2025-12-22 18:38:52.872,unknown,1,0,0,1.69127
2025-12-22 18:38:52.928,unknown,0,1,0,1.69861
2025-12-22 18:38:53.928,unknown,0,0,0,1.68531
2025-12-22 18:38:53.072,unknown,1,0,0,1.68797
2025-12-22 18:38:55.024,unknown,0,0,0,1.66976
2025-12-22 18:38:59.520,unknown,1,0,0,1.67234
2025-12-22 18:39:00.752,unknown,0,0,0,1.66718
2025-12-22 18:39:05.232,unknown,1,0,0,1.66009
2025-12-22 18:39:06.472,unknown,0,0,0,1.66751
2025-12-22 18:39:11.312,unknown,1,0,0,1.65396
2025-12-22 18:39:12.272,unknown,0,0,0,1.65379
2025-12-22 18:39:15.632,unknown,1,0,0,1.65412
2025-12-22 18:39:16.760,unknown,0,0,0,1.64878
2025-12-22 18:39:21.912,unknown,1,0,0,1.65444
2025-12-22 18:39:22.960,unknown,0,0,0,1.65291
2025-12-22 20:19:16.896,unknown,1,0,0,1.67097
2025-12-22 20:19:16.944,unknown,0,1,0,1.66775
2025-12-22 20:19:17.344,unknown,0,0,0,1.66928
2025-12-22 20:19:18.264,Handsome,1,0,0,1.65283
2025-12-22 20:19:18.328,Handsome,0,0,0,1.65291
2025-12-22 20:19:18.864,unknown,1,0,0,1.65179
2025-12-22 20:19:20.760,unknown,0,0,0,1.65252
2025-12-22 20:19:25.496,unknown,1,0,0,1.64457
2025-12-22 20:19:26.920,unknown,0,0,0,1.64603
2025-12-22 20:19:29.016,unknown,1,0,0,1.64894
2025-12-22 20:19:31.520,unknown,0,0,0,1.64522
2025-12-22 20:19:34.208,unknown,1,0,0,1.64967
2025-12-22 20:19:36.288,unknown,0,0,0,1.64765
2025-12-22 20:19:40.488,unknown,1,0,0,1.64902
2025-12-22 20:19:41.976,unknown,0,0,0,1.64418
2025-12-22 20:19:41.024,unknown,1,0,0,1.64548
2025-12-22 20:19:41.064,unknown,0,1,0,1.64708
2025-12-22 20:19:41.208,unknown,1,1,0,1.64538
2025-12-22 20:19:42.280,unknown,0,2,0,1.64514
2025-12-22 20:19:43.272,unknown,0,0,0,1.64612
2025-12-22 20:19:45.888,unknown,1,0,0,1.64572
2025-12-22 20:19:47.368,unknown,0,0,0,1.64361
2025-12-22 20:19:50.112,unknown,1,0,0,1.64774
2025-12-22 20:19:52.408,unknown,0,0,0,1.64458
2025-12-22 20:19:55.936,unknown,1,0,0,1.64878
2025-12-22 20:19:55.000,unknown,0,1,0,1.64765
2025-12-22 20:19:55.192,unknown,1,1,0,1.64482
2025-12-22 20:19:57.344,unknown,0,1,0,1.64668
2025-12-22 20:19:57.608,unknown,1,1,0,1.6441
2025-12-22 20:19:57.664,unknown,0,2,0,1.64353
2025-12-22 20:19:58.656,unknown,0,0,0,1.64563
2025-12-22 20:20:00.656,unknown,1,0,0,1.64717
2025-12-22 20:20:02.352,unknown,0,0,0,1.64136
2025-12-22 20:20:05.984,unknown,1,0,0,1.64677
2025-12-22 20:20:07.992,unknown,0,0,0,1.64815
2025-12-22 20:20:11.168,unknown,1,0,0,1.65169
2025-12-22 20:20:13.488,unknown,0,0,0,1.62701
2025-12-22 20:20:16.240,unknown,1,0,0,1.60816
2025-12-22 20:20:18.568,unknown,0,0,0,1.60687
2025-12-22 20:20:22.392,unknown,1,0,0,1.60953
2025-12-22 20:20:23.984,unknown,0,0,0,1.60606
2025-12-22 20:20:27.568,unknown,1,0,0,1.60856
2025-12-22 20:20:28.848,unknown,0,0,0,1.61243
2025-12-22 20:20:31.832,unknown,1,0,0,1.61009
2025-12-22 20:20:33.256,unknown,0,0,0,1.60921
2025-12-22 20:20:37.304,unknown,1,0,0,1.60913
2025-12-22 20:20:38.328,unknown,0,0,0,1.60961
2025-12-22 20:20:38.448,unknown,1,0,0,1.60953
2025-12-22 20:20:38.504,unknown,0,1,0,1.60735
2025-12-22 20:20:39.504,unknown,0,0,0,1.60913
2025-12-22 20:20:40.240,unknown,1,0,0,1.61178
2025-12-22 20:20:42.704,unknown,0,0,0,1.61066
2025-12-22 20:20:45.016,unknown,1,0,0,1.6084
2025-12-22 20:20:47.264,unknown,0,0,0,1.60856
2025-12-22 20:20:50.400,unknown,1,0,0,1.60848
2025-12-22 20:20:51.544,unknown,0,0,0,1.60921
2025-12-22 20:20:53.232,unknown,1,0,0,1.59366
2025-12-22 20:20:55.560,unknown,0,0,0,1.5918
2025-12-23 17:34:39.984,unknown,1,0,0,1.57287
2025-12-23 17:34:40.944,unknown,0,0,0,1.57456
2025-12-23 17:34:45.424,unknown,1,0,0,1.57593
2025-12-23 17:34:46.064,unknown,0,0,0,1.57714
2025-12-23 17:34:49.616,unknown,1,0,0,1.5777
2025-12-23 17:34:49.680,unknown,0,1,0,1.5715
2025-12-23 17:34:49.744,unknown,1,1,0,1.57811
2025-12-23 17:34:50.736,unknown,0,1,0,1.57456
2025-12-23 17:34:51.760,unknown,0,0,0,1.57416
2025-12-23 17:34:55.600,unknown,1,0,0,1.57279
2025-12-23 17:34:56.464,unknown,0,0,0,1.57287
2025-12-23 18:12:18.872,unknown,1,0,0,1.5798
2025-12-23 18:12:19.896,unknown,0,0,0,1.57174
2025-12-23 18:12:23.280,unknown,1,0,0,1.57327
2025-12-23 18:12:24.304,unknown,0,0,0,1.56884
2025-12-23 18:12:27.120,unknown,1,0,0,1.57392
2025-12-23 18:12:28.112,unknown,0,0,0,1.57706
2025-12-23 18:12:31.216,unknown,1,0,0,1.57625
2025-12-23 18:12:32.016,unknown,0,0,0,1.5744
2025-12-23 18:12:32.080,unknown,1,0,0,1.57142
2025-12-23 18:12:32.272,unknown,0,1,0,1.5719
2025-12-23 18:12:33.296,unknown,0,0,0,1.57488
2025-12-23 18:12:35.152,unknown,1,0,0,1.57045
2025-12-23 18:12:36.016,unknown,0,0,0,1.57561
2025-12-23 18:12:39.280,unknown,1,0,0,1.57569
2025-12-23 18:12:40.240,unknown,0,0,0,1.57158
2025-12-23 18:12:44.952,unknown,1,0,0,1.57231
2025-12-23 18:12:45.880,unknown,0,0,0,1.57214
2025-12-23 18:12:48.368,unknown,1,0,0,1.57376
2025-12-23 18:12:48.432,unknown,0,1,0,1.5744
2025-12-23 18:12:48.528,unknown,1,1,0,1.57351
2025-12-23 18:12:49.200,unknown,0,1,0,1.57513
2025-12-23 18:12:50.224,unknown,0,0,0,1.57319
2025-12-23 18:12:52.304,unknown,1,0,0,1.57376
2025-12-23 18:12:53.264,unknown,0,0,0,1.57521
2025-12-23 18:12:57.104,unknown,1,0,0,1.5711
2025-12-23 18:12:58.160,unknown,0,0,0,1.55933
2025-12-23 18:13:01.328,unknown,1,0,0,1.55361
2025-12-23 18:13:03.832,unknown,0,0,0,1.55893
2025-12-23 18:13:29.520,unknown,1,0,0,1.55515
