time,mono_ms,cat_name,state,lick,bout,water
2026-01-23 19:13:20.351,16159740,unknown,1,0,0,1.27915
2026-01-23 19:13:23.095,16162484,unknown,0,0,0,1.27859
2026-01-23 19:13:27.059,16166448,unknown,1,0,0,1.28044
2026-01-23 19:13:27.131,16166520,unknown,0,1,0,1.27891
2026-01-23 19:13:27.295,16166684,unknown,1,1,0,1.27351
2026-01-23 19:13:28.187,16167576,unknown,0,1,0,1.26384
2026-01-23 19:13:29.187,16168576,unknown,0,0,0,1.28004
2026-01-23 19:13:32.467,16171856,unknown,1,0,0,1.28004
2026-01-23 19:13:33.603,16172992,unknown,0,0,0,1.25941
2026-01-23 19:13:37.971,16177360,unknown,1,0,0,1.26553
2026-01-23 19:13:39.003,16178392,unknown,0,0,0,1.25804
2026-01-23 19:13:42.775,16182164,unknown,1,0,0,1.26368
2026-01-23 19:13:42.855,16182244,unknown,0,1,0,1.28004
2026-01-23 19:13:43.035,16182424,unknown,1,1,0,1.27698
2026-01-23 19:13:43.947,16183336,unknown,0,1,0,1.26102
2026-01-23 19:13:44.951,16184340,unknown,0,0,0,1.25917
2026-01-23 19:13:48.399,16187788,unknown,1,0,0,1.26416
2026-01-23 19:13:49.403,16188792,unknown,0,0,0,1.27045
2026-01-23 19:13:49.591,16188980,unknown,1,0,0,1.26416
2026-01-23 19:13:49.675,16189064,unknown,0,1,0,1.26271
2026-01-23 19:13:50.679,16190068,unknown,0,0,0,1.264
2026-01-23 19:13:54.199,16193588,unknown,1,0,0,1.26763
2026-01-23 19:13:55.363,16194752,unknown,0,0,0,1.25836
2026-01-23 19:13:59.319,16198708,unknown,1,0,0,1.2632
2026-01-23 19:14:00.411,16199800,unknown,0,0,0,1.26288
2026-01-23 19:14:03.403,16202792,unknown,1,0,0,1.26118
2026-01-23 19:14:04.927,16204316,unknown,0,0,0,1.25957
2026-01-23 19:14:08.279,16207668,unknown,1,0,0,1.26046
2026-01-23 19:14:08.387,16207776,unknown,0,1,0,1.2607
2026-01-23 19:14:08.587,16207976,unknown,1,1,0,1.26433
2026-01-23 19:14:10.343,16209732,unknown,0,1,0,1.26288
2026-01-23 19:14:11.343,16210732,unknown,0,0,0,1.26513
2026-01-23 19:14:14.187,16213576,unknown,1,0,0,1.26151
2026-01-23 19:14:14.279,16213668,unknown,0,1,0,1.26288
2026-01-23 19:14:14.327,16213716,unknown,1,1,0,1.25893
2026-01-23 19:14:15.363,16214752,unknown,0,1,0,1.25925
2026-01-23 19:14:16.363,16215752,unknown,0,0,0,1.26715
2026-01-23 19:14:20.191,16219580,unknown,1,0,0,1.26118
2026-01-23 19:14:21.531,16220920,unknown,0,0,0,1.26731
2026-01-23 19:14:25.159,16224548,unknown,1,0,0,1.26763
2026-01-23 19:14:26.347,16225736,unknown,0,0,0,1.25877
2026-01-23 19:14:29.107,16228496,unknown,1,0,0,1.26167
2026-01-23 19:14:30.255,16229644,unknown,0,0,0,1.24434
2026-01-23 19:14:33.723,16233112,unknown,1,0,0,1.26344
2026-01-23 19:14:33.799,16233188,unknown,0,1,0,1.26215
2026-01-23 19:14:33.867,16233256,unknown,1,1,0,1.25957
2026-01-23 19:14:34.835,16234224,unknown,0,1,0,1.24602
2026-01-23 19:14:35.839,16235228,unknown,0,0,0,1.26078
2026-01-23 19:14:38.323,16237712,unknown,1,0,0,1.26561
2026-01-23 19:14:39.675,16239064,unknown,0,0,0,1.25892
2026-01-23 19:14:43.795,16243184,unknown,1,0,0,1.26312
2026-01-23 19:14:44.975,16244364,unknown,0,0,0,1.24546
2026-01-23 19:14:45.427,16244816,unknown,1,0,0,1.24732
2026-01-23 19:14:45.483,16244872,unknown,0,1,0,1.24424
2026-01-23 19:14:46.487,16245876,unknown,0,0,0,1.24933
2026-01-23 21:43:52.651,25192040,unknown,1,0,0,1.26392
2026-01-23 21:43:54.147,25193536,unknown,0,0,0,1.24175
2026-01-23 21:43:57.907,25197296,unknown,1,0,0,1.24546
2026-01-23 21:43:58.931,25198320,unknown,0,0,0,1.24602
2026-01-23 21:44:02.363,25201752,unknown,1,0,0,1.24716
2026-01-23 21:44:03.747,25203136,unknown,0,0,0,1.2424
2026-01-23 21:44:07.515,25206904,unknown,1,0,0,1.24408
2026-01-23 21:44:08.603,25207992,unknown,0,0,0,1.2432
2026-01-23 21:44:12.611,25212000,unknown,1,0,0,1.24627
2026-01-23 21:44:14.179,25213568,unknown,0,0,0,1.24595
2026-01-23 21:44:14.299,25213688,unknown,1,0,0,1.25038
2026-01-23 21:44:14.355,25213744,unknown,0,1,0,1.24522
2026-01-23 21:44:15.363,25214752,unknown,0,0,0,1.24755
2026-01-23 21:44:17.835,25217224,unknown,1,0,0,1.25248
2026-01-23 21:44:19.371,25218760,unknown,0,0,0,1.24506
2026-01-23 21:44:22.987,25222376,unknown,1,0,0,1.24401
2026-01-23 21:44:24.467,25223856,unknown,0,0,0,1.24513
2026-01-23 21:44:24.523,25223912,unknown,1,0,0,1.24248
2026-01-23 21:44:24.571,25223960,unknown,0,1,0,1.24505
2026-01-23 21:44:25.579,25224968,unknown,0,0,0,1.24635
2026-01-23 21:44:30.987,25230376,unknown,1,0,0,1.24667
2026-01-23 21:44:32.315,25231704,unknown,0,0,0,1.24764
2026-01-23 21:46:20.003,25339392,unknown,1,0,0,1.24579
