time,cat_name,state,lick,bout,water
2025-10-08 09:30:42.326,unknown,1.0,0.0,0.0,0.972893
2025-10-08 09:30:42.415,unknown,0.0,1.0,0.0,0.972732
2025-10-08 09:30:42.568,unknown,1.0,1.0,0.0,0.985623
2025-10-08 09:30:42.628,unknown,0.0,2.0,0.0,0.970476
2025-10-08 09:30:43.797,unknown,1.0,2.0,0.0,0.971041
2025-10-08 09:30:43.847,unknown,0.0,3.0,0.0,0.97813
2025-10-08 09:30:43.001,unknown,1.0,3.0,0.0,0.981595
2025-10-08 09:30:43.051,unknown,0.0,4.0,0.0,0.973941
2025-10-08 09:30:43.154,unknown,1.0,4.0,0.0,0.977405
2025-10-08 09:30:43.227,unknown,0.0,5.0,0.0,0.973619
2025-10-08 09:30:43.330,unknown,1.0,5.0,0.0,0.979742
2025-10-08 09:30:43.394,unknown,0.0,6.0,0.0,0.972974
2025-10-08 09:30:43.511,unknown,1.0,6.0,0.0,0.982641
2025-10-08 09:30:43.560,unknown,0.0,7.0,0.0,0.970799
2025-10-08 09:30:43.694,unknown,1.0,7.0,0.0,0.979902
2025-10-08 09:30:44.760,unknown,0.0,8.0,0.0,0.972974
2025-10-08 09:30:44.881,unknown,1.0,8.0,0.0,0.978775
2025-10-08 09:30:44.931,unknown,0.0,9.0,0.0,0.974505
2025-10-08 09:30:44.072,unknown,1.0,9.0,0.0,0.976036
2025-10-08 09:30:44.126,unknown,0.0,10.0,0.0,0.980305
2025-10-08 09:30:44.257,unknown,1.0,10.0,0.0,0.972974
2025-10-08 09:30:44.314,unknown,0.0,11.0,0.0,0.969671
2025-10-08 09:31:27.267,unknown,0.0,0.0,1.0,0.972329
2025-10-08 09:31:43.153,unknown,1.0,0.0,1.0,0.9795
2025-10-08 09:31:43.234,unknown,0.0,1.0,1.0,0.969671
2025-10-08 09:31:43.336,unknown,1.0,1.0,1.0,0.975874
2025-10-08 09:31:43.412,unknown,0.0,2.0,1.0,0.977727
2025-10-08 09:31:43.517,unknown,1.0,2.0,1.0,0.975794
2025-10-08 09:31:43.578,unknown,0.0,3.0,1.0,0.972893
2025-10-08 09:31:43.653,unknown,1.0,3.0,1.0,0.9766
2025-10-08 09:31:44.716,unknown,0.0,4.0,1.0,0.973215
2025-10-08 09:31:44.765,unknown,1.0,4.0,1.0,0.98087
2025-10-08 09:31:44.863,unknown,0.0,5.0,1.0,0.979742
2025-10-08 09:31:44.946,unknown,1.0,5.0,1.0,0.992229
2025-10-08 09:31:44.032,unknown,0.0,6.0,1.0,0.976036
2025-10-08 09:31:44.115,unknown,1.0,6.0,1.0,0.975149
2025-10-08 09:31:44.182,unknown,0.0,7.0,1.0,0.976439
2025-10-08 09:31:44.255,unknown,1.0,7.0,1.0,0.976519
2025-10-08 09:31:44.335,unknown,0.0,8.0,1.0,0.974908
2025-10-08 09:31:44.396,unknown,1.0,8.0,1.0,0.981433
2025-10-08 09:31:44.468,unknown,0.0,9.0,1.0,0.972651
2025-10-08 09:31:44.559,unknown,1.0,9.0,1.0,0.982642
2025-10-08 09:31:44.634,unknown,0.0,10.0,1.0,0.981273
2025-10-08 09:31:45.636,unknown,0.0,0.0,2.0,0.971846
2025-10-08 09:31:47.831,unknown,1.0,0.0,2.0,0.973458
2025-10-08 09:31:47.886,unknown,0.0,1.0,2.0,0.973054
2025-10-08 09:31:47.006,unknown,1.0,1.0,2.0,0.971443
2025-10-08 09:31:47.080,unknown,0.0,2.0,2.0,0.972087
2025-10-08 09:31:47.175,unknown,1.0,2.0,2.0,0.978775
2025-10-08 09:31:47.241,unknown,0.0,3.0,2.0,0.973457
2025-10-08 09:31:47.343,unknown,1.0,3.0,2.0,0.975391
2025-10-08 09:31:47.405,unknown,0.0,4.0,2.0,0.976519
2025-10-08 09:31:47.514,unknown,1.0,4.0,2.0,0.975794
2025-10-08 09:31:47.565,unknown,0.0,5.0,2.0,0.976922
2025-10-08 09:31:47.657,unknown,1.0,5.0,2.0,0.974021
2025-10-08 09:31:48.827,unknown,0.0,5.0,2.0,0.976439
2025-10-08 09:31:49.831,unknown,0.0,0.0,3.0,0.974666
2025-10-08 09:31:50.174,unknown,1.0,0.0,3.0,0.971363
2025-10-08 09:31:50.241,unknown,0.0,1.0,3.0,0.973215
2025-10-08 09:31:50.336,unknown,1.0,1.0,3.0,0.977486
2025-10-08 09:31:50.425,unknown,0.0,2.0,3.0,0.976116
2025-10-08 09:31:50.481,unknown,1.0,2.0,3.0,0.975552
2025-10-08 09:31:50.559,unknown,0.0,3.0,3.0,0.969993
2025-10-08 09:31:50.655,unknown,1.0,3.0,3.0,0.977083
2025-10-08 09:31:51.716,unknown,0.0,4.0,3.0,0.978614
2025-10-08 09:31:51.814,unknown,1.0,4.0,3.0,0.97942
2025-10-08 09:31:51.880,unknown,0.0,5.0,3.0,0.974102
2025-10-08 09:31:51.975,unknown,1.0,5.0,3.0,0.979339
2025-10-08 09:31:51.037,unknown,0.0,6.0,3.0,0.97813
2025-10-08 09:31:51.098,unknown,1.0,6.0,3.0,0.979258
2025-10-08 09:31:51.176,unknown,0.0,7.0,3.0,0.971121
2025-10-08 09:31:52.181,unknown,0.0,0.0,4.0,0.9766
2025-10-08 09:31:53.269,unknown,1.0,0.0,4.0,0.977324
2025-10-08 09:31:53.359,unknown,0.0,1.0,4.0,0.975632
2025-10-08 09:31:53.463,unknown,1.0,1.0,4.0,0.978291
2025-10-08 09:31:53.523,unknown,0.0,2.0,4.0,0.973861
2025-10-08 09:31:53.601,unknown,1.0,2.0,4.0,0.980869
2025-10-08 09:31:53.673,unknown,0.0,3.0,4.0,0.968382
2025-10-08 09:31:54.742,unknown,1.0,3.0,4.0,0.981595
2025-10-08 09:31:54.821,unknown,0.0,4.0,4.0,0.982883
2025-10-08 09:31:54.898,unknown,1.0,4.0,4.0,0.977164
2025-10-08 09:31:54.988,unknown,0.0,5.0,4.0,0.967657
2025-10-08 09:31:54.070,unknown,1.0,5.0,4.0,0.977567
2025-10-08 09:31:54.141,unknown,0.0,6.0,4.0,0.974666
2025-10-08 09:31:55.146,unknown,0.0,0.0,5.0,0.97241
2025-10-08 09:31:57.693,unknown,0.0,0.0,0.0,0.97668
2025-10-08 09:31:59.959,unknown,1.0,0.0,0.0,0.970637
2025-10-08 09:31:59.043,unknown,0.0,1.0,0.0,0.972007
2025-10-08 09:31:59.132,unknown,1.0,1.0,0.0,0.982078
2025-10-08 09:31:59.219,unknown,0.0,2.0,0.0,0.978211
2025-10-08 09:31:59.298,unknown,1.0,2.0,0.0,0.976116
2025-10-08 09:31:59.363,unknown,0.0,3.0,0.0,0.97523
2025-10-08 09:31:59.454,unknown,1.0,3.0,0.0,0.97378
2025-10-08 09:31:59.520,unknown,0.0,4.0,0.0,0.972974
2025-10-08 09:31:59.610,unknown,1.0,4.0,0.0,0.982722
2025-10-08 09:31:59.688,unknown,0.0,5.0,0.0,0.974343
2025-10-08 09:32:00.743,unknown,1.0,5.0,0.0,0.977647
2025-10-08 09:32:00.839,unknown,0.0,6.0,0.0,0.980145
2025-10-08 09:32:01.840,unknown,0.0,0.0,1.0,0.972571
2025-10-08 09:32:01.469,unknown,1.0,0.0,1.0,0.986106
2025-10-08 09:32:01.548,unknown,0.0,1.0,1.0,0.977727
2025-10-08 09:32:01.603,unknown,1.0,1.0,1.0,0.976116
2025-10-08 09:32:01.673,unknown,0.0,2.0,1.0,0.970799
2025-10-08 09:32:02.779,unknown,1.0,2.0,1.0,0.984495
2025-10-08 09:32:02.850,unknown,0.0,3.0,1.0,0.967415
2025-10-08 09:32:02.928,unknown,1.0,3.0,1.0,0.976922
2025-10-08 09:32:02.990,unknown,0.0,4.0,1.0,0.974908
2025-10-08 09:32:03.980,unknown,1.0,4.0,1.0,0.977969
2025-10-08 09:32:03.053,unknown,0.0,5.0,1.0,0.977324
2025-10-08 09:32:03.159,unknown,1.0,5.0,1.0,0.973941
2025-10-08 09:32:03.243,unknown,0.0,6.0,1.0,0.972007
2025-10-08 09:32:03.325,unknown,1.0,6.0,1.0,0.978614
2025-10-08 09:32:03.395,unknown,0.0,7.0,1.0,0.975149
2025-10-08 09:32:03.470,unknown,1.0,7.0,1.0,0.974666
2025-10-08 09:32:03.555,unknown,0.0,8.0,1.0,0.97668
2025-10-08 09:32:04.555,unknown,0.0,0.0,2.0,0.979258
2025-10-08 09:32:05.379,unknown,1.0,0.0,2.0,0.976035
2025-10-08 09:32:05.477,unknown,0.0,1.0,2.0,0.969994
2025-10-08 09:32:05.573,unknown,1.0,1.0,2.0,0.978453
2025-10-08 09:32:05.645,unknown,0.0,2.0,2.0,0.966287
2025-10-08 09:32:06.730,unknown,1.0,2.0,2.0,0.979258
2025-10-08 09:32:06.821,unknown,0.0,3.0,2.0,0.97942
2025-10-08 09:32:06.877,unknown,1.0,3.0,2.0,0.980386
2025-10-08 09:32:06.945,unknown,0.0,4.0,2.0,0.977808
2025-10-08 09:32:06.030,unknown,1.0,4.0,2.0,0.979016
2025-10-08 09:32:06.102,unknown,0.0,5.0,2.0,0.975552
2025-10-08 09:32:06.175,unknown,1.0,5.0,2.0,0.974746
2025-10-08 09:32:06.255,unknown,0.0,6.0,2.0,0.968462
2025-10-08 09:32:06.340,unknown,1.0,6.0,2.0,0.973215
2025-10-08 09:32:06.404,unknown,0.0,7.0,2.0,0.976922
2025-10-08 09:32:06.485,unknown,1.0,7.0,2.0,0.967415
2025-10-08 09:32:06.572,unknown,0.0,8.0,2.0,0.96669
2025-10-08 09:32:06.633,unknown,1.0,8.0,2.0,0.972007
2025-10-08 09:32:07.706,unknown,0.0,9.0,2.0,0.974827
2025-10-08 09:32:07.787,unknown,1.0,9.0,2.0,0.977647
2025-10-08 09:32:07.866,unknown,0.0,10.0,2.0,0.971846
2025-10-08 09:32:07.948,unknown,1.0,10.0,2.0,0.976036
2025-10-08 09:32:07.022,unknown,0.0,11.0,2.0,0.970154
2025-10-08 09:32:07.088,unknown,1.0,11.0,2.0,0.975875
2025-10-08 09:32:07.168,unknown,0.0,12.0,2.0,0.977647
2025-10-08 09:32:08.171,unknown,0.0,0.0,3.0,0.970396
2025-10-08 09:32:10.573,unknown,1.0,0.0,3.0,0.972894
2025-10-08 09:32:10.697,unknown,0.0,1.0,3.0,0.974021
2025-10-08 09:32:11.761,unknown,1.0,1.0,3.0,0.972651
2025-10-08 09:32:11.865,unknown,0.0,2.0,3.0,0.978694
2025-10-08 09:32:11.957,unknown,1.0,2.0,3.0,0.975874
2025-10-08 09:32:11.020,unknown,0.0,3.0,3.0,0.973377
2025-10-08 09:32:11.091,unknown,1.0,3.0,3.0,0.978372
2025-10-08 09:32:11.160,unknown,0.0,4.0,3.0,0.970073
2025-10-08 09:32:11.244,unknown,1.0,4.0,3.0,0.971846
2025-10-08 09:32:11.305,unknown,0.0,5.0,3.0,0.974585
2025-10-08 09:32:11.389,unknown,1.0,5.0,3.0,0.975069
2025-10-08 09:32:11.453,unknown,0.0,6.0,3.0,0.977889
2025-10-08 09:32:11.532,unknown,1.0,6.0,3.0,0.976439
2025-10-08 09:32:11.624,unknown,0.0,7.0,3.0,0.967898
2025-10-08 09:32:11.673,unknown,1.0,7.0,3.0,0.975552
2025-10-08 09:32:12.722,unknown,0.0,8.0,3.0,0.969429
2025-10-08 09:32:13.725,unknown,0.0,0.0,4.0,0.971685
2025-10-08 09:32:14.724,unknown,1.0,0.0,4.0,0.977888
2025-10-08 09:32:14.798,unknown,0.0,1.0,4.0,0.9766
2025-10-08 09:32:14.916,unknown,1.0,1.0,4.0,0.983528
2025-10-08 09:32:14.988,unknown,0.0,2.0,4.0,0.975713
2025-10-08 09:32:14.070,unknown,1.0,2.0,4.0,0.971363
2025-10-08 09:32:14.135,unknown,0.0,3.0,4.0,0.97241
2025-10-08 09:32:14.231,unknown,1.0,3.0,4.0,0.974827
2025-10-08 09:32:14.316,unknown,0.0,4.0,4.0,0.977002
2025-10-08 09:32:14.371,unknown,1.0,4.0,4.0,0.977567
2025-10-08 09:32:14.443,unknown,0.0,5.0,4.0,0.974343
2025-10-08 09:32:14.520,unknown,1.0,5.0,4.0,0.975069
2025-10-08 09:32:14.609,unknown,0.0,6.0,4.0,0.974585
2025-10-08 09:32:15.613,unknown,0.0,0.0,5.0,0.972974
2025-10-08 09:32:18.159,unknown,0.0,0.0,0.0,0.978533
